,0,1,2,3,4,5,6,7
0,ID,Season,Home,Away,TossWin,TossDec,Venue,Winner
1,1,2008,KKR,RCB,Team 2,field,M.Chinnaswamy Stadium,Team 1
2,2,2008,CSK,KXIP,Team 1,bat,Punjab Cricket Association IS Bindra Stadium,Team 1
3,3,2008,RR,DC,Team 1,bat,Arun Jaitley Stadium,Team 2
4,4,2008,DC,KKR,Team 1,bat,Eden Gardens,Team 2
5,5,2008,MI,RCB,Team 1,bat,Wankhede Stadium,Team 2
6,6,2008,KXIP,RR,Team 1,bat,Sawai Mansingh Stadium,Team 2
7,7,2008,DC,DC,Team 1,bat,Rajiv Gandhi International Stadium,Team 2
8,8,2008,CSK,MI,Team 2,field,MA Chidambaram Stadium,Team 1
9,9,2008,DC,RR,Team 2,field,Rajiv Gandhi International Stadium,Team 2
10,10,2008,KXIP,MI,Team 2,field,Punjab Cricket Association IS Bindra Stadium,Team 1
11,11,2008,KKR,CSK,Team 1,bat,MA Chidambaram Stadium,Team 2
12,12,2008,RCB,RR,Team 2,field,M.Chinnaswamy Stadium,Team 2
13,13,2008,DC,KXIP,Team 1,bat,Punjab Cricket Association IS Bindra Stadium,Team 2
14,14,2008,MI,DC,Team 2,field,Dr DY Patil Sports Academy,Team 2
15,15,2008,CSK,RCB,Team 1,bat,M.Chinnaswamy Stadium,Team 1
16,16,2008,KKR,MI,Team 1,bat,Eden Gardens,Team 2
17,17,2008,DC,RCB,Team 2,field,Arun Jaitley Stadium,Team 1
18,18,2008,RR,KKR,Team 1,bat,Sawai Mansingh Stadium,Team 1
19,19,2008,DC,KXIP,Team 2,field,Rajiv Gandhi International Stadium,Team 2
20,20,2008,CSK,DC,Team 1,bat,MA Chidambaram Stadium,Team 2
21,21,2008,RCB,DC,Team 2,field,M.Chinnaswamy Stadium,Team 1
22,22,2008,KXIP,KKR,Team 1,bat,Punjab Cricket Association IS Bindra Stadium,Team 1
23,23,2008,MI,DC,Team 2,field,Dr DY Patil Sports Academy,Team 1
24,24,2008,CSK,RR,Team 1,bat,Sawai Mansingh Stadium,Team 2
25,25,2008,RCB,KXIP,Team 2,field,M.Chinnaswamy Stadium,Team 2
26,26,2008,CSK,DC,Team 2,field,MA Chidambaram Stadium,Team 2
27,27,2008,RR,MI,Team 2,field,Dr DY Patil Sports Academy,Team 2
28,28,2008,DC,CSK,Team 2,field,Arun Jaitley Stadium,Team 2
29,29,2008,KKR,RCB,Team 1,bat,Eden Gardens,Team 1
30,30,2008,DC,RR,Team 2,field,Sawai Mansingh Stadium,Team 2
31,31,2008,CSK,KXIP,Team 2,field,MA Chidambaram Stadium,Team 1
32,32,2008,KKR,DC,Team 1,bat,Rajiv Gandhi International Stadium,Team 1
33,33,2008,DC,RR,Team 2,field,Sawai Mansingh Stadium,Team 2
34,34,2008,RCB,KXIP,Team 1,bat,Punjab Cricket Association IS Bindra Stadium,Team 2
35,35,2008,KKR,DC,Team 1,bat,Eden Gardens,Team 1
36,36,2008,CSK,MI,Team 2,field,Wankhede Stadium,Team 2
37,37,2008,DC,DC,Team 2,field,Arun Jaitley Stadium,Team 1
38,38,2008,KKR,MI,Team 2,field,Wankhede Stadium,Team 2
39,39,2008,RR,RCB,Team 2,field,Sawai Mansingh Stadium,Team 1
40,40,2008,DC,KXIP,Team 1,bat,Arun Jaitley Stadium,Team 2
41,41,2008,KKR,CSK,Team 1,bat,Eden Gardens,Team 2
42,42,2008,MI,DC,Team 2,field,Rajiv Gandhi International Stadium,Team 1
43,43,2008,RCB,DC,Team 2,field,M.Chinnaswamy Stadium,Team 2
44,44,2008,KKR,RR,Team 2,field,Eden Gardens,Team 2
45,45,2008,KXIP,MI,Team 2,field,Wankhede Stadium,Team 1
46,46,2008,RCB,CSK,Team 1,bat,MA Chidambaram Stadium,Team 1
47,47,2008,DC,KKR,none,none,Arun Jaitley Stadium,Team 1
48,48,2008,DC,KXIP,Team 2,field,Punjab Cricket Association IS Bindra Stadium,Team 2
49,49,2008,RR,CSK,Team 1,bat,MA Chidambaram Stadium,Team 1
